datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-24 09:15:00+05:30,14.0,19.4,10.65,11.65,1011920,733520,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:16:00+05:30,11.35,18.6,11.35,17.6,810980,793040,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:17:00+05:30,17.5,21.35,16.05,19.45,560080,793040,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:18:00+05:30,19.6,20.35,18.25,18.95,520980,1038820,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:19:00+05:30,19.8,26.5,18.6,24.65,716580,1038820,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:20:00+05:30,24.65,29.45,22.7,25.75,817800,1038820,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:21:00+05:30,25.25,26.9,22.55,23.05,428700,1156920,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:22:00+05:30,22.65,23.8,19.8,20.45,485260,1156920,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:23:00+05:30,20.05,21.2,19.3,20.4,400620,1156920,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:24:00+05:30,20.35,20.55,18.6,19.25,381360,1265700,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:25:00+05:30,19.65,21.0,19.45,19.5,558360,1265700,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:26:00+05:30,19.7,20.7,18.35,19.9,397400,1265700,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:27:00+05:30,20.0,20.5,18.95,19.15,270360,1421980,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:28:00+05:30,19.05,19.55,18.35,18.4,152680,1421980,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:29:00+05:30,18.7,18.95,17.15,17.3,323200,1417340,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:30:00+05:30,17.3,18.7,16.8,18.15,276240,1417340,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:31:00+05:30,18.0,18.15,17.4,17.5,110960,1417340,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
2026-09-24 09:32:00+05:30,17.2,17.2,15.5,15.95,406380,1430140,SENSEX 73600 PE 24 SEP 26,73600.0,PE,2026-09-24
