datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-24 09:15:00+05:30,583.8,630.3,466.75,506.95,33840,10020,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:16:00+05:30,493.4,493.4,430.55,434.8,38440,23080,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:17:00+05:30,430.65,448.65,415.0,421.25,44500,23080,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:18:00+05:30,412.7,430.6,411.0,424.8,26940,64660,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:19:00+05:30,420.5,426.2,380.1,392.0,50980,64660,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:20:00+05:30,386.5,404.95,381.85,397.15,50320,64660,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:21:00+05:30,395.55,418.1,393.8,413.75,22580,95880,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:22:00+05:30,416.25,428.1,412.45,426.55,27840,95880,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:23:00+05:30,424.15,430.5,414.05,417.35,25640,95880,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:24:00+05:30,420.25,426.15,398.05,398.05,17740,98920,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:25:00+05:30,401.15,405.75,386.05,404.55,24360,98920,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:26:00+05:30,403.75,419.35,395.25,406.35,22780,98920,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:27:00+05:30,405.5,412.25,393.65,402.9,18020,111660,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:28:00+05:30,403.35,411.55,398.35,410.15,8900,111660,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:29:00+05:30,410.4,423.15,403.05,421.9,24880,125500,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
2026-09-24 09:30:00+05:30,419.8,426.5,403.3,413.8,27880,125500,SENSEX 73900 CE 24 SEP 26,73900.0,CE,2026-09-24
