tradingsymbol,strike,type,expiry,datetime,open,high,low,close,volume,oi
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:13:00+05:30,29.8,30.55,25.25,27.8,732960,3101100
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:14:00+05:30,27.75,28.7,20.0,20.55,1290900,3101100
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:15:00+05:30,20.65,27.75,20.55,27.25,1000000,3101120
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:16:00+05:30,26.7,28.75,23.1,26.0,761980,3101120
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:17:00+05:30,25.55,27.15,25.0,26.2,386640,3101120
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:18:00+05:30,26.35,27.45,21.1,25.45,964460,3177600
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:19:00+05:30,26.0,26.1,12.9,18.45,1637280,3177600
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:20:00+05:30,16.0,25.6,9.55,11.35,3407700,3082300
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:21:00+05:30,11.65,11.65,3.4,4.3,4028560,3082300
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:22:00+05:30,3.95,6.0,2.5,3.55,2709520,3082300
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:23:00+05:30,3.7,5.4,3.15,4.4,2126580,2791320
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:24:00+05:30,4.4,4.4,1.1,1.55,2665640,2791320
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:25:00+05:30,1.5,1.7,1.3,1.5,2071720,2791320
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:26:00+05:30,1.35,1.45,0.25,0.6,1775020,2323080
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:27:00+05:30,0.65,0.9,0.55,0.6,1252580,2323080
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:28:00+05:30,0.65,1.05,0.1,0.1,1088300,2038140
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:29:00+05:30,0.15,0.15,0.1,0.15,289500,2038140
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:30:00+05:30,0.1,0.15,0.1,0.1,267760,2038140
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:00:00+05:30,436.65,463.15,424.95,454.05,101460,360760
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:01:00+05:30,457.0,466.95,447.0,448.25,80420,344180
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:02:00+05:30,443.15,461.25,430.55,458.5,58120,344180
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:03:00+05:30,455.0,464.2,443.35,452.65,43500,344180
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:04:00+05:30,452.65,457.9,422.3,422.3,63980,351640
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:05:00+05:30,422.25,456.85,422.25,436.85,67260,351640
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:06:00+05:30,440.65,451.9,435.1,448.45,30900,351640
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:07:00+05:30,449.3,458.0,440.8,446.75,41360,337920
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:08:00+05:30,447.3,447.6,430.0,440.5,43680,337920
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:09:00+05:30,439.1,449.65,430.75,437.2,33180,339500
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:10:00+05:30,439.6,456.8,426.0,446.35,64200,339500
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:11:00+05:30,444.0,447.25,405.2,417.5,107840,339500
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:12:00+05:30,422.8,444.6,418.6,428.3,59880,315820
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:13:00+05:30,433.3,458.8,431.0,449.55,84680,315820
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:14:00+05:30,456.0,512.65,450.95,493.6,175360,315820
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:15:00+05:30,487.3,492.65,443.75,443.75,91240,307300
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:16:00+05:30,453.9,482.6,432.15,462.05,72140,307300
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:17:00+05:30,468.0,468.8,456.05,459.45,33780,307300
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:18:00+05:30,459.5,486.35,445.45,468.75,95380,306800
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:19:00+05:30,462.05,516.8,437.55,460.45,130720,306800
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:20:00+05:30,457.55,475.15,377.2,411.95,332520,292660
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:21:00+05:30,417.1,498.75,416.45,442.5,201380,292660
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:22:00+05:30,442.85,464.65,390.0,432.7,238560,292660
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:23:00+05:30,417.45,435.0,371.3,409.7,194920,348780
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:24:00+05:30,411.65,553.9,408.0,502.15,309660,348780
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:25:00+05:30,506.15,546.9,404.3,416.85,310180,348780
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:26:00+05:30,424.45,528.8,376.5,506.9,345880,234900
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:27:00+05:30,518.55,533.75,410.75,413.45,295600,234900
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:28:00+05:30,411.6,411.65,314.35,314.5,335780,272260
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:29:00+05:30,315.0,315.7,314.2,314.4,58600,272260
SENSEX 74000 CE 17 SEP 26,74000.0,CE,2026-09-17,2026-09-17 15:30:00+05:30,314.4,315.4,314.1,314.9,65200,272260
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:00:00+05:30,53.4,55.0,43.65,44.7,2397300,7065620
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:01:00+05:30,45.2,46.7,39.0,42.5,1794860,6900160
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:02:00+05:30,43.05,44.4,36.05,37.15,1598760,6900160
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:03:00+05:30,37.9,40.25,35.6,38.55,1205600,6900160
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:04:00+05:30,38.6,43.45,36.7,43.45,1145860,6964680
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:05:00+05:30,43.55,43.55,33.0,36.95,2049440,6964680
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:06:00+05:30,36.8,37.7,34.7,36.35,989780,6964680
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:07:00+05:30,36.65,41.05,35.7,39.75,967200,7035220
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:08:00+05:30,40.15,43.4,38.3,41.15,1013400,7035220
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:09:00+05:30,41.1,42.1,37.75,41.95,845080,6988060
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:10:00+05:30,42.4,44.4,37.65,42.4,1277020,6988060
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:11:00+05:30,42.95,46.95,42.1,44.65,1146280,6988060
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:12:00+05:30,45.85,45.95,39.45,42.5,1245080,6842660
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:13:00+05:30,43.6,43.6,36.15,39.9,1241300,6842660
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:14:00+05:30,40.45,41.15,29.1,30.2,2175720,6842660
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:15:00+05:30,30.4,39.65,30.4,39.55,1544540,6672140
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:16:00+05:30,38.85,42.95,34.0,38.05,1530800,6672140
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:17:00+05:30,37.45,39.7,37.3,38.35,702880,6672140
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:18:00+05:30,38.3,38.3,30.0,37.65,1488800,6648860
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:19:00+05:30,38.1,38.1,21.15,28.2,2091580,6648860
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:20:00+05:30,20.35,34.05,15.25,19.0,5934280,6431100
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:21:00+05:30,17.5,17.5,4.65,5.95,7734480,6431100
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:22:00+05:30,5.8,9.2,3.35,5.4,5801640,6431100
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:23:00+05:30,5.65,9.75,4.75,7.35,4620020,6644300
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:24:00+05:30,7.35,7.35,1.7,1.85,5952520,6644300
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:25:00+05:30,1.8,2.45,1.45,2.15,4475760,6644300
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:26:00+05:30,2.1,2.35,0.25,0.75,4419440,5839220
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:27:00+05:30,0.65,1.2,0.65,0.8,3074780,5839220
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:28:00+05:30,0.8,1.7,0.1,0.1,3166140,4569140
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:29:00+05:30,0.1,0.15,0.1,0.15,1162420,4569140
SENSEX 74000 PE 17 SEP 26,74000.0,PE,2026-09-17,2026-09-17 15:30:00+05:30,0.1,0.15,0.05,0.05,1014960,4569140
