tradingsymbol,strike,type,expiry,datetime,open,high,low,close,volume,oi
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:00:00+05:30,601.15,642.6,597.2,631.15,13060,67980
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:01:00+05:30,630.65,648.85,625.15,628.7,7840,66040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:02:00+05:30,613.9,641.25,612.35,637.65,11580,66040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:03:00+05:30,635.45,647.0,622.8,631.9,6120,66040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:04:00+05:30,637.05,638.3,602.35,602.35,7320,65400
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:05:00+05:30,604.05,640.5,604.05,620.15,9080,65400
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:06:00+05:30,617.95,632.9,614.75,626.9,3680,65400
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:07:00+05:30,626.2,639.8,616.75,627.6,6380,64800
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:08:00+05:30,623.15,626.5,607.4,619.9,5000,64800
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:09:00+05:30,619.2,631.6,611.0,614.75,3640,64800
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:10:00+05:30,619.2,635.85,608.8,620.25,4360,66920
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:11:00+05:30,619.9,625.5,584.95,593.75,6500,66920
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:12:00+05:30,602.85,626.7,595.25,613.25,5840,63640
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:13:00+05:30,606.1,643.4,606.1,632.25,6320,63640
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:14:00+05:30,627.35,692.4,627.35,681.55,10940,63640
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:15:00+05:30,673.5,675.95,619.2,624.5,6740,62560
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:16:00+05:30,625.45,666.95,607.55,643.2,3620,62560
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:17:00+05:30,645.1,649.6,637.8,644.5,860,62560
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:18:00+05:30,637.35,672.95,625.2,639.4,7180,61320
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:19:00+05:30,635.8,702.95,613.4,644.45,7320,61320
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:20:00+05:30,666.0,672.95,546.8,606.15,26180,63040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:21:00+05:30,609.2,693.3,606.6,643.85,11920,63040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:22:00+05:30,646.1,658.15,584.5,628.6,11160,63040
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:23:00+05:30,616.55,626.2,558.8,604.3,14560,64580
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:24:00+05:30,606.4,750.35,605.1,723.1,26620,64580
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:25:00+05:30,704.9,747.3,604.15,621.0,33600,64580
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:26:00+05:30,622.5,727.0,570.0,704.65,63140,60700
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:27:00+05:30,719.4,725.9,611.2,613.15,33280,60700
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:28:00+05:30,613.4,614.3,513.5,515.3,39560,61560
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:29:00+05:30,514.95,515.35,513.6,513.8,4300,61560
SENSEX 73800 CE 17 SEP 26,73800.0,CE,2026-09-17,2026-09-17 15:30:00+05:30,513.8,515.45,513.75,513.75,1800,61560
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:00:00+05:30,27.65,28.3,22.05,22.65,1098900,3378220
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:01:00+05:30,23.3,24.0,19.6,21.5,1041360,3307840
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:02:00+05:30,22.2,22.65,18.0,18.35,902380,3307840
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:03:00+05:30,18.8,20.15,17.3,19.25,691060,3307840
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:04:00+05:30,19.35,22.0,18.15,22.0,572900,3363040
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:05:00+05:30,21.75,21.75,15.6,18.0,1112340,3363040
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:06:00+05:30,17.95,18.65,16.65,17.7,642580,3363040
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:07:00+05:30,17.7,20.7,17.25,19.8,653680,3309080
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:08:00+05:30,20.35,22.0,19.1,20.7,566640,3309080
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:09:00+05:30,20.7,21.2,18.85,21.2,461420,3171520
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:10:00+05:30,21.15,22.15,18.5,21.1,573380,3171520
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:11:00+05:30,21.55,23.35,21.0,23.25,667800,3171520
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:12:00+05:30,22.6,22.6,19.25,21.35,724220,3103140
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:13:00+05:30,20.8,21.35,17.45,19.25,639300,3103140
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:14:00+05:30,19.2,19.75,12.55,13.9,1373880,3103140
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:15:00+05:30,14.1,19.9,14.05,18.8,848100,3018620
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:16:00+05:30,19.25,20.2,15.55,17.55,860860,3018620
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:17:00+05:30,17.6,17.85,16.5,17.5,471440,3018620
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:18:00+05:30,17.3,17.5,12.2,17.5,930260,3164920
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:19:00+05:30,17.5,17.85,9.0,12.2,1413600,3164920
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:20:00+05:30,9.7,16.8,6.4,7.7,3776840,2981720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:21:00+05:30,7.25,7.25,2.3,3.25,3535400,2981720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:22:00+05:30,3.2,4.05,2.25,2.65,1909100,2981720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:23:00+05:30,2.7,3.9,2.4,3.2,1334680,2717720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:24:00+05:30,3.05,3.05,1.15,1.35,1708460,2717720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:25:00+05:30,1.25,1.4,1.05,1.1,1282880,2717720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:26:00+05:30,1.1,1.15,0.2,0.3,1236840,2284920
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:27:00+05:30,0.45,0.7,0.3,0.45,766840,2284920
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:28:00+05:30,0.45,0.55,0.1,0.1,809740,1889720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:29:00+05:30,0.1,0.15,0.1,0.15,277600,1889720
SENSEX 73800 PE 17 SEP 26,73800.0,PE,2026-09-17,2026-09-17 15:30:00+05:30,0.15,0.15,0.05,0.05,476940,1889720
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:00:00+05:30,518.8,548.8,508.1,542.45,20880,90600
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:01:00+05:30,540.65,560.0,533.95,534.2,14120,90960
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:02:00+05:30,526.3,550.35,520.25,548.75,13560,90960
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:03:00+05:30,542.75,553.15,534.75,543.35,8500,90960
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:04:00+05:30,547.05,548.35,511.6,511.6,12300,90280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:05:00+05:30,513.0,551.95,512.0,525.85,8900,90280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:06:00+05:30,527.25,541.0,523.5,534.75,6660,90280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:07:00+05:30,542.3,547.65,529.65,535.2,5140,88920
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:08:00+05:30,531.45,535.2,515.2,527.0,8600,88920
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:09:00+05:30,527.0,541.3,520.3,524.05,7400,93280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:10:00+05:30,526.9,546.5,516.0,530.0,6360,93280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:11:00+05:30,529.95,535.75,497.85,501.15,14240,93280
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:12:00+05:30,512.5,534.95,505.75,520.65,8900,87200
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:13:00+05:30,519.95,549.05,517.7,537.65,11120,87200
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:14:00+05:30,544.9,604.5,543.1,580.75,19920,87200
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:15:00+05:30,575.55,583.3,528.7,536.5,20760,79340
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:16:00+05:30,538.3,571.3,512.7,544.55,14760,79340
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:17:00+05:30,555.0,558.15,546.9,549.85,3660,79340
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:18:00+05:30,549.4,580.65,533.65,553.25,22420,83340
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:19:00+05:30,549.4,610.95,523.8,542.5,29500,83340
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:20:00+05:30,531.7,566.8,454.15,503.55,85860,85620
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:21:00+05:30,507.0,600.0,507.0,547.15,27400,85620
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:22:00+05:30,546.25,560.75,486.15,523.05,25520,85620
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:23:00+05:30,518.45,527.8,465.7,508.1,34080,80260
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:24:00+05:30,505.4,650.3,505.4,615.0,58860,80260
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:25:00+05:30,604.5,654.0,506.25,520.75,87560,80260
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:26:00+05:30,521.6,629.75,474.85,618.0,87900,73040
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:27:00+05:30,617.2,629.45,510.1,515.95,54480,73040
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:28:00+05:30,512.4,512.85,406.35,414.0,92280,78560
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:29:00+05:30,414.45,415.2,413.9,415.0,11040,78560
SENSEX 73900 CE 17 SEP 26,73900.0,CE,2026-09-17,2026-09-17 15:30:00+05:30,414.05,415.15,413.6,414.2,24460,78560
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:00:00+05:30,37.1,39.7,30.2,32.7,1285940,3254980
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:01:00+05:30,32.25,33.0,27.6,30.45,932800,3102780
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:02:00+05:30,30.9,31.25,25.4,26.3,796880,3102780
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:03:00+05:30,27.0,28.55,25.15,27.5,741840,3102780
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:04:00+05:30,27.3,31.2,25.85,31.2,606140,3084340
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:05:00+05:30,30.65,30.65,22.85,25.7,1344520,3084340
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:06:00+05:30,25.75,26.45,23.85,25.5,641640,3084340
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:07:00+05:30,25.7,29.35,24.8,28.5,515060,3053560
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:08:00+05:30,28.75,30.75,27.05,29.15,472600,3053560
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:09:00+05:30,29.35,29.9,26.65,29.9,486360,3060500
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:10:00+05:30,30.4,31.25,26.6,29.75,564140,3060500
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:11:00+05:30,30.35,33.15,29.85,33.0,626440,3060500
SENSEX 73900 PE 17 SEP 26,73900.0,PE,2026-09-17,2026-09-17 15:12:00+05:30,32.0,32.35,27.75,30.6,821660,3101100
