datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,509.4,550.15,321.0,422.9,162220,151220,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:16:00+05:30,424.35,444.2,378.1,394.65,127680,159680,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:17:00+05:30,391.6,402.65,353.25,359.95,79520,159680,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:18:00+05:30,360.65,363.6,333.85,343.55,112360,236740,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:19:00+05:30,343.4,344.4,328.8,341.7,106880,236740,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:20:00+05:30,349.0,353.9,314.0,339.8,140700,236740,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:21:00+05:30,338.45,355.6,327.95,343.45,91240,325680,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:22:00+05:30,340.5,374.0,339.55,371.3,119500,325680,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:23:00+05:30,372.1,381.0,365.55,378.1,94980,325680,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:24:00+05:30,380.65,398.0,372.35,398.0,95160,315980,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:25:00+05:30,402.95,407.7,376.3,395.65,113900,315980,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:26:00+05:30,390.5,399.4,378.85,383.0,60780,315980,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:27:00+05:30,382.25,398.0,355.7,359.6,78720,314860,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:28:00+05:30,355.2,360.0,342.2,350.55,76060,314860,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:29:00+05:30,350.5,377.1,346.45,357.2,71900,334400,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:30:00+05:30,356.1,370.0,342.95,347.25,85360,334400,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:31:00+05:30,345.85,354.7,322.3,325.15,84100,334400,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
2026-09-17 09:32:00+05:30,323.75,328.7,285.15,294.15,198500,385740,SENSEX 74600 PE 17 SEP 26,74600.0,PE,2026-09-17
