datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-22 09:15:00+05:30,62.6,69.0,50.6,52.2,9428900,9292530,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:16:00+05:30,52.3,55.9,46.7,47.5,7936760,11768835,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:17:00+05:30,47.5,49.05,45.5,46.45,5867355,13922870,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:18:00+05:30,46.3,52.0,46.1,49.2,6346860,15084875,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:19:00+05:30,49.05,51.1,46.8,46.8,4300400,16727945,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:20:00+05:30,46.8,50.2,44.1,45.3,5711420,18067920,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:21:00+05:30,45.15,46.9,43.7,45.9,3606525,19001320,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:22:00+05:30,45.9,48.45,45.15,45.3,3670095,19578195,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:23:00+05:30,45.3,47.8,45.0,46.65,2122120,19578195,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:24:00+05:30,46.5,48.2,45.7,45.95,2606500,20006350,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:25:00+05:30,45.95,46.1,43.1,43.55,3880370,20823335,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:26:00+05:30,43.55,44.15,41.55,41.7,4069520,20823335,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:27:00+05:30,41.7,42.5,39.0,41.45,5464355,22083555,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:28:00+05:30,41.3,42.85,40.2,41.95,3852095,22589580,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:29:00+05:30,41.95,47.8,41.3,47.05,5449860,22463675,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:30:00+05:30,46.9,49.35,44.55,45.95,6674720,23179195,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:31:00+05:30,45.85,47.5,43.75,46.7,3515070,23502895,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:32:00+05:30,46.6,47.35,42.0,42.5,3941730,23818405,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:33:00+05:30,42.5,43.4,40.1,40.55,3607240,24347960,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:34:00+05:30,40.55,42.65,40.4,42.05,2068170,24927630,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:35:00+05:30,42.05,42.9,39.65,40.3,3530150,25726025,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:36:00+05:30,40.15,41.45,39.9,41.1,1978145,25726025,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:37:00+05:30,41.2,43.9,40.85,43.15,3451890,25890800,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:38:00+05:30,43.15,47.0,42.8,44.55,4442490,26185770,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:39:00+05:30,44.65,47.8,44.15,46.0,3512990,26241410,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:40:00+05:30,45.9,46.6,44.4,45.9,2569645,26241410,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:41:00+05:30,45.9,49.0,45.85,47.55,5062915,26399425,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:42:00+05:30,47.6,50.0,47.5,49.95,4368325,26289510,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:43:00+05:30,49.8,51.3,47.3,48.5,5818085,26289510,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:44:00+05:30,48.4,49.7,46.15,49.55,2750735,26744120,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:45:00+05:30,49.5,50.95,47.1,48.0,3832010,26744120,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:46:00+05:30,48.0,49.4,47.2,49.05,2045420,27026675,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:47:00+05:30,49.15,50.3,48.25,49.1,2678520,27196000,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:48:00+05:30,49.1,52.0,46.6,46.8,5160935,27160965,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:49:00+05:30,46.9,47.65,45.7,47.1,2890290,27160965,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:50:00+05:30,47.0,50.0,46.6,49.15,2942420,27420965,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:51:00+05:30,49.15,49.8,44.55,44.65,2980770,27337570,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:52:00+05:30,44.65,47.75,44.0,46.2,3005860,27650155,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:53:00+05:30,46.05,48.5,46.05,48.25,1749280,27650155,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:54:00+05:30,48.25,49.45,47.1,47.75,1847040,27704495,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:55:00+05:30,47.75,48.6,44.85,46.5,2758535,27953835,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:56:00+05:30,46.35,48.4,45.7,46.25,1939210,27953835,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:57:00+05:30,46.25,46.9,43.75,44.4,2497365,28194465,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:58:00+05:30,44.35,47.8,44.15,47.8,1799785,28311270,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 09:59:00+05:30,47.65,47.9,45.85,47.75,1419405,28451735,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:00:00+05:30,47.75,49.2,46.7,48.85,2402205,28359305,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:01:00+05:30,48.85,50.85,47.8,48.25,4095975,28113345,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:02:00+05:30,48.25,48.4,44.8,45.45,2895620,28113345,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:03:00+05:30,45.45,47.4,45.25,46.4,1486745,28614560,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:04:00+05:30,46.4,49.85,46.3,48.1,2702180,28614560,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:05:00+05:30,47.95,49.45,47.75,48.6,1530880,28562040,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:06:00+05:30,48.55,49.0,45.5,45.8,2254460,28562040,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:07:00+05:30,45.7,48.75,45.35,48.25,1794000,28674945,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:08:00+05:30,48.15,50.8,47.8,50.2,3322540,27940575,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:09:00+05:30,50.2,52.65,49.85,51.3,5228990,27940575,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:10:00+05:30,51.3,52.5,48.05,48.55,4568785,27833845,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:11:00+05:30,48.55,51.9,48.4,50.5,2923830,27921725,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:12:00+05:30,50.5,50.7,47.7,48.7,2403700,27785225,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:13:00+05:30,48.6,48.8,46.8,48.65,2376725,28044835,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:14:00+05:30,48.5,50.25,48.2,48.55,2094430,28325050,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:15:00+05:30,48.55,48.85,47.25,47.4,1642095,28419430,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:16:00+05:30,47.4,47.9,44.6,45.6,4267705,28740010,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:17:00+05:30,45.6,47.2,45.35,46.3,2047435,28969590,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:18:00+05:30,46.2,47.5,45.0,46.95,1927250,29061110,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:19:00+05:30,46.95,47.95,45.75,45.95,1630330,29061110,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:20:00+05:30,46.0,46.5,42.7,42.9,3142945,29072485,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:21:00+05:30,42.85,44.45,40.1,40.5,5358535,28951650,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
2026-09-22 10:22:00+05:30,40.6,41.2,36.05,37.5,8218275,29694210,NIFTY 23450 CE 22 SEP 26,23450.0,CE,2026-09-22
