datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,355.45,402.0,207.3,283.7,1028660,917580,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:16:00+05:30,289.6,303.2,247.3,259.8,737340,1110600,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:17:00+05:30,263.55,266.8,230.85,236.45,548300,1110600,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:18:00+05:30,235.75,241.6,217.65,224.8,768420,1684300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:19:00+05:30,225.1,226.9,212.65,222.45,624080,1684300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:20:00+05:30,222.05,231.45,202.4,222.55,971240,1684300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:21:00+05:30,219.05,232.65,209.7,219.75,655980,2351220,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:22:00+05:30,223.15,246.4,220.0,243.65,903400,2351220,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:23:00+05:30,242.8,251.6,237.25,249.0,702500,2351220,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:24:00+05:30,251.7,264.55,244.2,264.2,843120,2523700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:25:00+05:30,267.0,270.0,246.45,263.95,717420,2523700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:26:00+05:30,258.75,267.25,249.75,253.4,496000,2523700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:27:00+05:30,252.8,266.05,230.85,233.8,531140,2414420,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:28:00+05:30,232.7,236.1,220.8,227.95,571040,2414420,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:29:00+05:30,227.1,248.15,224.1,233.25,567160,2490940,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:30:00+05:30,232.8,243.2,221.75,224.5,529200,2490940,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:31:00+05:30,225.55,229.15,206.5,209.05,647140,2490940,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:32:00+05:30,207.05,209.55,178.5,186.15,1183880,2973140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:33:00+05:30,185.1,192.6,169.25,192.15,1085140,2973140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:34:00+05:30,193.0,193.85,178.3,185.5,610940,2973140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:35:00+05:30,181.7,182.3,155.1,162.55,969500,3605480,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:36:00+05:30,162.7,173.85,159.6,173.05,643880,3605480,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:37:00+05:30,172.6,175.9,161.4,171.3,483240,4055260,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:38:00+05:30,172.1,182.5,167.0,182.3,496500,4055260,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:39:00+05:30,184.55,194.9,184.2,191.8,1013680,4055260,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:40:00+05:30,193.95,207.85,192.35,195.85,1134580,4044720,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:41:00+05:30,196.25,212.75,195.35,208.35,741720,4044720,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:42:00+05:30,210.5,249.8,209.9,249.8,1588980,4044720,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:43:00+05:30,248.75,256.1,216.25,224.3,1399760,3729700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:44:00+05:30,225.2,246.05,216.65,216.85,654640,3729700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:45:00+05:30,220.95,238.35,207.8,233.9,876300,3597500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:46:00+05:30,234.0,243.05,225.8,225.8,467300,3597500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:47:00+05:30,227.1,229.85,209.85,213.9,446620,3597500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:48:00+05:30,214.35,222.2,200.2,206.1,637060,3656140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:49:00+05:30,203.4,206.4,191.85,205.1,561760,3656140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:50:00+05:30,205.65,213.25,200.0,200.2,515200,3656140,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:51:00+05:30,197.25,200.6,187.55,190.75,555600,3899640,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:52:00+05:30,191.6,194.7,172.4,182.9,757520,3899640,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:53:00+05:30,183.5,189.45,178.2,184.15,441880,3899640,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:54:00+05:30,182.25,182.25,168.75,177.05,597160,4182240,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:55:00+05:30,174.65,180.0,165.4,172.5,512140,4182240,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:56:00+05:30,171.3,187.75,171.3,183.15,698480,4551040,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:57:00+05:30,180.0,186.45,171.4,175.3,575340,4551040,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:58:00+05:30,174.3,177.6,167.6,174.7,418840,4551040,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 09:59:00+05:30,172.0,176.2,166.85,173.95,324340,4759960,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:00:00+05:30,176.35,183.4,170.9,178.1,469140,4759960,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:01:00+05:30,177.35,177.9,166.4,169.8,408880,4759960,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:02:00+05:30,168.9,170.6,159.9,161.65,636880,4911560,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:03:00+05:30,160.25,170.9,157.6,163.6,525400,4911560,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:04:00+05:30,164.3,165.6,160.2,162.4,349000,5072320,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:05:00+05:30,162.4,162.4,137.0,150.0,1307140,5072320,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:06:00+05:30,150.15,150.65,140.0,145.65,740800,5072320,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:07:00+05:30,145.55,153.65,145.1,148.8,624220,5374860,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:08:00+05:30,147.3,149.75,141.5,146.55,307560,5374860,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:09:00+05:30,146.45,150.0,143.9,145.35,233500,5374860,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:10:00+05:30,143.65,147.95,135.15,136.0,426200,5452720,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:11:00+05:30,138.05,142.15,127.05,133.35,893140,5452720,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:12:00+05:30,132.6,135.45,129.05,134.9,384840,5409500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:13:00+05:30,136.35,138.5,130.05,135.2,371960,5409500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:14:00+05:30,135.3,139.55,135.3,138.55,321360,5409500,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:15:00+05:30,138.65,141.05,132.15,141.05,331760,5471120,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:16:00+05:30,141.05,146.1,139.5,143.15,418320,5471120,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:17:00+05:30,143.0,149.5,140.9,148.75,376180,5471120,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:18:00+05:30,149.8,153.5,146.15,149.35,565840,5496920,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:19:00+05:30,149.25,154.75,147.35,154.75,343700,5496920,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:20:00+05:30,154.25,158.35,146.0,146.55,704880,5496920,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:21:00+05:30,146.1,149.7,143.2,149.7,376700,5465700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:22:00+05:30,150.2,156.3,149.4,154.8,325340,5465700,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:23:00+05:30,156.0,161.65,153.65,160.5,513240,5426820,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:24:00+05:30,160.45,161.65,154.7,158.25,432840,5426820,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:25:00+05:30,159.0,164.3,155.55,160.65,454260,5426820,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:26:00+05:30,160.65,164.5,157.05,157.55,408000,5409780,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:27:00+05:30,156.35,156.7,149.0,155.2,567180,5409780,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:28:00+05:30,153.9,159.35,150.9,157.9,253880,5409780,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:29:00+05:30,158.4,161.1,150.0,154.3,349140,5389340,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:30:00+05:30,154.45,159.65,150.35,158.5,334120,5389340,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:31:00+05:30,159.5,171.95,159.5,166.0,1174860,5466300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:32:00+05:30,166.1,167.8,159.2,167.8,530560,5466300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:33:00+05:30,168.0,171.9,166.45,167.9,526400,5466300,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:34:00+05:30,168.85,173.65,165.65,171.4,590060,5439000,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:35:00+05:30,171.85,178.3,156.65,156.9,1122920,5439000,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
2026-09-17 10:36:00+05:30,156.25,160.65,145.5,145.9,854940,5439000,SENSEX 74400 PE 17 SEP 26,74400.0,PE,2026-09-17
