datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,170.0,192.85,145.3,163.45,1048645,3230240,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:16:00+05:30,163.55,168.6,154.25,157.75,796770,3488225,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:17:00+05:30,157.45,159.95,149.4,150.6,521950,3488225,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:18:00+05:30,150.4,152.75,144.0,146.5,594555,3587935,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:19:00+05:30,146.15,147.4,140.6,146.25,620945,3829475,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:20:00+05:30,146.0,149.9,139.1,145.65,834795,4087785,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:21:00+05:30,146.0,151.85,142.0,147.2,544375,4397120,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:22:00+05:30,147.55,153.65,145.95,153.1,587405,4498585,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:23:00+05:30,153.15,155.9,150.65,155.0,585520,4535830,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:24:00+05:30,155.0,159.4,153.65,158.75,580775,4585880,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:25:00+05:30,159.25,161.25,153.8,157.7,628615,4565795,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:26:00+05:30,157.6,158.65,152.85,154.1,313690,4591015,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:27:00+05:30,153.65,157.85,147.5,148.3,466505,4639700,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:28:00+05:30,147.95,148.7,141.65,144.35,536250,4637165,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:29:00+05:30,144.3,151.45,143.35,146.0,455975,4640480,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:30:00+05:30,146.0,148.55,142.0,144.35,471445,4742660,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:31:00+05:30,144.35,146.0,137.55,138.65,717340,4828785,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:32:00+05:30,138.65,141.5,129.5,131.9,916175,5030610,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:33:00+05:30,131.6,134.6,125.65,134.3,1060800,5253820,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:34:00+05:30,134.1,135.9,130.0,132.0,659945,5776485,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:35:00+05:30,131.85,131.95,120.25,123.45,925275,5942300,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:36:00+05:30,123.2,128.2,122.0,127.8,760045,5942300,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:37:00+05:30,127.7,129.45,122.0,127.1,565045,6208540,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:38:00+05:30,126.9,132.0,125.55,131.8,777465,6649565,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:39:00+05:30,131.95,136.8,131.35,136.45,1324765,6649565,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:40:00+05:30,136.05,141.0,134.85,137.1,1091285,6730555,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:41:00+05:30,137.15,144.85,136.6,144.5,1155180,6837480,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:42:00+05:30,144.55,157.35,144.35,156.1,1658930,6883240,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:43:00+05:30,155.75,160.6,148.6,151.2,1751945,6548945,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:44:00+05:30,151.15,158.35,148.2,149.7,707265,6079710,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:45:00+05:30,149.9,154.35,144.0,151.9,853775,6085950,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:46:00+05:30,152.15,154.3,148.6,149.05,542230,6172075,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:47:00+05:30,149.45,150.1,142.6,145.4,442780,6161675,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:48:00+05:30,145.5,148.0,139.5,141.35,654680,6115655,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:49:00+05:30,141.25,141.85,136.05,140.8,500890,6152705,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:50:00+05:30,140.9,144.9,139.9,140.55,386555,6159270,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:51:00+05:30,140.35,140.7,136.6,136.8,310245,6207890,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:52:00+05:30,137.0,139.0,130.2,133.65,621205,6207890,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:53:00+05:30,133.8,136.6,132.0,133.6,333255,6171685,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:54:00+05:30,133.75,134.0,128.2,131.15,542425,6343155,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:55:00+05:30,130.85,133.45,127.25,130.5,463385,6471010,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:56:00+05:30,130.0,135.0,129.7,133.0,790595,6810830,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:57:00+05:30,132.75,135.0,128.5,129.65,500435,6810830,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:58:00+05:30,129.7,131.1,127.0,130.3,384735,6890325,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 09:59:00+05:30,130.15,131.0,127.0,129.6,255125,7131865,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 10:00:00+05:30,129.6,133.5,128.3,130.75,482040,7131865,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 10:01:00+05:30,130.5,131.0,126.55,128.15,318370,7229495,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
2026-09-17 10:02:00+05:30,128.0,128.55,124.2,124.9,479440,7236775,NIFTY 23300 PE 22 SEP 26,23300.0,PE,2026-09-22
